Quantity,Component,Price,Link,
80,Brushed DC Motor,$54.88 ,https://www.aliexpress.us/item/3256810271706869.html?spm=a2g0o.productlist.main.48.18214690sK1aRt&algo_pvid=53df9bc5-14d9-4ef0-b69f-11a93d529ec5&algo_exp_id=53df9bc5-14d9-4ef0-b69f-11a93d529ec5-45,
20,1s 450mAh BT2.0 Battery,$61.82 ,https://www.aliexpress.us/item/3256810349502140.html?spm=a2g0o.productlist.main.9.7055TeWnTeWnyW&algo_pvid=e87d392e-a216-4ba3-8956-baf637a8cba3&algo_exp_id=e87d392e-a216-4ba3-8956-baf637a8cba3-8&pdp_ext_f=%7B%22order%22%3A%2248%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2113.57%216.78%21%21%2192.34%2146.17%21%402103110517771681621716757e4b37%2112000052738741335%21sea%21US%217493938711%21X%211%210%21n_tag%3A-29913%3Bd%3Ad260408f%3Bm03_new_user%3A-29895&curPageLogUid=6cUgOJiOwfNW&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005010535816892%7C_p_origin_prod%3A,
2,1s BT2.0 Charger,$36.36 ,https://www.aliexpress.us/item/3256811772590472.html?spm=a2g0o.productlist.main.3.315a3kxV3kxVU5&algo_pvid=a57de163-f3db-4a1d-966e-e88601147021&algo_exp_id=a57de163-f3db-4a1d-966e-e88601147021-2&pdp_ext_f=%7B%22order%22%3A%22-1%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2131.82%2119.09%21%21%21216.43%21129.86%21%402101f54117771690026201319e9264%2112000057143664294%21sea%21US%217493938711%21X%211%210%21n_tag%3A-29913%3Bd%3Ad260408f%3Bm03_new_user%3A-29895&curPageLogUid=pie8lE5eVKgd&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005011958905224%7C_p_origin_prod%3A,
20,BMP581 (hand solder),$74.76 ,https://www.lcsc.com/product-detail/C5362283.html?s_z=s_p_BMP581&spm=wm.ssy.bg.0.xh&lcsc_vid=EQdcXlMFQFgMVQUCQlALX1cFQVFeBlwHRgVYV1UAEwUxVlNRT1BfUFdfTlJcUDsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D,
20,LSM6DSRTR (hand solder),$60.13 ,https://www.lcsc.com/product-detail/C784817.html?s_z=s_q_LSM6DSR&spm=wm.ssy.bg.0.xh&lcsc_vid=EQdcXlMFQFgMVQUCQlALX1cFQVFeBlwHRgVYV1UAEwUxVlNRT1BfUFdTRFdfVDsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D,
20,BT2.0 Battery Connector,$61 ,https://www.aliexpress.us/item/3256809239979303.html?spm=a2g0o.productlist.main.21.249160e6VKXmtp&algo_pvid=f9327bfe-e693-4f18-8f88-ff14f884a111&algo_exp_id=f9327bfe-e693-4f18-8f88-ff14f884a111-20&pdp_ext_f=%7B%22order%22%3A%2225%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2119.01%2110.17%21%21%2119.01%2110.17%21%40210319b017781174864236569e535f%2112000049059092141%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A21b1ce8d%3Bm03_new_user%3A-29895%3BpisId%3A5000000204886261&curPageLogUid=TSeGJiqu7rZ1&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009426294055%7C_p_origin_prod%3A,"Note: select ""1S Whoop"""
20,2.4G Wifi Antenna ,$14.08 ,https://www.aliexpress.us/item/3256802833801038.html?spm=a2g0o.productlist.main.17.44bbCrBdCrBdFl&algo_pvid=20d56933-2b0c-45d5-8601-1bc6a9682401&algo_exp_id=20d56933-2b0c-45d5-8601-1bc6a9682401-16&pdp_ext_f=%7B%22order%22%3A%221074%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%213.55%213.52%21%21%213.55%213.52%21%402101ef5e17781321493642302e40a6%2112000023272348781%21sea%21US%217493938711%21X%211%210%21n_tag%3A-29913%3Bd%3A21b1ce8d%3Bm03_new_user%3A-29895&curPageLogUid=rLnZuf4b98Bi&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005003020115790%7C_p_origin_prod%3A,
20,Custom PCB,$200 ,Fab files available on github,
,,,,
Total:,$562.95 ,,,
Unit Cost:,$25.40 ,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
