Designator,Footprint,Quantity,Value,LCSC Part #
BT1,BAT-TH_BH-18650-A1AJ006,1,BH-18650-A1AJ006,C5290175
BUZZER2,BUZ-SMD_L5.0-W5.5-P4.60,1,MLT-5020,C94598
C1,C0805,1,CL21A226MAQNNNE,C45783
"C10, C33, C4, C5, C6",0603,5,4.7uF,
"C11, C12, C13, C14, C16, C17, C18, C19, C20, C21, C22, C23, C24, C3, C34, C35, C36, C37, C71",0603,19,100nF,
"C15, C71C1",0805,2,10uF,
C27,0603,1,10nF,
"C31, C32, C39, C41, C65",0603,5,1uF,
"C38, C40",0603,2,10uF,
"C7, C8",0603,2,15pF,
C9,0603,1,1nF,
"D4, D6, D7, D8",0402,4,LED,
D5,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,1,USBLC6-2SC6_C2687116,C2687116
FLASH1,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q128JVS,
IC1,PNTSG3FSTR,1,PNT-SG3FS-TR,
"J1, J5, J6",PinHeader_1x05_P2.54mm_Vertical,3,Conn_01x05_Pin,
J3,PinHeader_1x06_P2.54mm_Vertical,1,Conn_01x06_Pin,
J4,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03_Pin,
L1,1210,1,3.3uH,
L2,L0402,1,LQW15AN47NG00D,C22334
Q7,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,1,AO3407A,C15155
"R10, R12, R17, R18, R19, R20, R23",0603,7,10k,
R11,0603,1,1.5k,
R16,0603,1,470,
"R21, R22, R24, R29, R3, R7, R8, R9",0603,8,1k,
"R25, R26",0603,2,220k,
R27,0603,1,100,
R28,0603,1,100k,
"R32, R33",0603,2,5.1k,
"R34, R35",0603,2,27,
R6,0603,1,33,
RP2350,QFN-60-1EP_7x7mm_P0.4mm_EP3.4x3.4mm,1,RP2350A,
SW1,SW-TH_MSK12C02,1,MSK12C02,C431540
"SW2, SW3",KEY-SMD_4P-L4.2-W3.2-P2.20-LS4.6,2,SKRPACE010,C139797
U1,QFN-16_L3.0-W3.0-P0.50-TL-EP1.7,1,BQ24075RGTR,C15464
U12,SOT-23-5,1,AP2112K-3.3,
U4,SOT-23-5_L2.9-W1.6-P0.95-LS2.9-BL,1,DW03C_C41367942,C41367942
U5,SMA-TH_SMA-KWE_C7498154,1,SMA-KWE_C7498154,C7498154
U6,WIFIM-SMD_61P-L13.2-W12.5-P0.80,1,ESP32-C3-MINI-1U-N4,C2911374
USB1,USB-C_SMD-TYPE-C-31-M-12,1,USB-TYPE-C-018,C2927038
X1,CRYSTAL-SMD_4P-L3.2-W2.5-BL,1,X322512MSB4SI,C9002
